127.0.0.1 - - [24/Jan/2024:09:34:44 +0900] "GET / HTTP/1.1" 404 807
127.0.0.1 - - [24/Jan/2024:09:34:50 +0900] "GET /k20240123_1_promise/04_promise_callback%EC%A7%80%EC%98%A5.html HTTP/1.1" 200 268
127.0.0.1 - - [24/Jan/2024:09:34:50 +0900] "GET /k20240123_1_promise/js/promise_04.js HTTP/1.1" 200 72
127.0.0.1 - - [24/Jan/2024:09:34:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [24/Jan/2024:09:35:05 +0900] "GET /k20240123_1_promise/04_promise_callback%EC%A7%80%EC%98%A5.html HTTP/1.1" 200 268
127.0.0.1 - - [24/Jan/2024:09:35:05 +0900] "GET /k20240123_1_promise/js/promise_04.js HTTP/1.1" 200 72
127.0.0.1 - - [24/Jan/2024:09:35:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [24/Jan/2024:09:37:03 +0900] "GET /k20240123_1_promise/04_promise_callback%EC%A7%80%EC%98%A5.html HTTP/1.1" 200 274
127.0.0.1 - - [24/Jan/2024:09:37:03 +0900] "GET /k20240123_1_promise/js/promise_04.js HTTP/1.1" 200 255
127.0.0.1 - - [24/Jan/2024:09:37:11 +0900] "GET /k20240123_1_promise/04_promise_callback%EC%A7%80%EC%98%A5.html HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:37:11 +0900] "GET /k20240123_1_promise/js/promise_04.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:08 +0900] "GET /k20240123_1_promise/04_promise_callback%EC%A7%80%EC%98%A5.html HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:08 +0900] "GET /k20240123_1_promise/js/promise_04.js HTTP/1.1" 200 1347
127.0.0.1 - - [24/Jan/2024:09:57:10 +0900] "GET /k20240123_1_promise/04_promise_callback%EC%A7%80%EC%98%A5.html HTTP/1.1" 200 274
127.0.0.1 - - [24/Jan/2024:09:57:10 +0900] "GET /k20240123_1_promise/js/promise_04.js HTTP/1.1" 200 1347
127.0.0.1 - - [24/Jan/2024:09:57:10 +0900] "GET /k20240123_1_promise/04_promise_callback%EC%A7%80%EC%98%A5.html HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:11 +0900] "GET /k20240123_1_promise/04_promise_callback%EC%A7%80%EC%98%A5.html HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:16 +0900] "GET /k20240123_1_promise/04_promise_callback%EC%A7%80%EC%98%A5.html HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:16 +0900] "GET /k20240123_1_promise/js/promise_04.js HTTP/1.1" 200 1376
127.0.0.1 - - [24/Jan/2024:09:57:21 +0900] "GET /k20240123_1_promise/04_promise_callback%EC%A7%80%EC%98%A5.html HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:21 +0900] "GET /k20240123_1_promise/js/promise_04.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:22 +0900] "GET /k20240123_1_promise/04_promise_callback%EC%A7%80%EC%98%A5.html HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:22 +0900] "GET /k20240123_1_promise/js/promise_04.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:22 +0900] "GET /k20240123_1_promise/04_promise_callback%EC%A7%80%EC%98%A5.html HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:23 +0900] "GET /k20240123_1_promise/04_promise_callback%EC%A7%80%EC%98%A5.html HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:23 +0900] "GET /k20240123_1_promise/js/promise_04.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:23 +0900] "GET /k20240123_1_promise/04_promise_callback%EC%A7%80%EC%98%A5.html HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:23 +0900] "GET /k20240123_1_promise/js/promise_04.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:23 +0900] "GET /k20240123_1_promise/04_promise_callback%EC%A7%80%EC%98%A5.html HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:23 +0900] "GET /k20240123_1_promise/js/promise_04.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:23 +0900] "GET /k20240123_1_promise/04_promise_callback%EC%A7%80%EC%98%A5.html HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:23 +0900] "GET /k20240123_1_promise/js/promise_04.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:23 +0900] "GET /k20240123_1_promise/04_promise_callback%EC%A7%80%EC%98%A5.html HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:23 +0900] "GET /k20240123_1_promise/04_promise_callback%EC%A7%80%EC%98%A5.html HTTP/1.1" 304 -
127.0.0.1 - - [24/Jan/2024:09:57:23 +0900] "GET /k20240123_1_promise/04_promise_callback%EC%A7%80%EC%98%A5.html HTTP/1.1" 304 -
