127.0.0.1 - - [12/Jan/2024:09:30:15 +0900] "GET / HTTP/1.1" 404 807
127.0.0.1 - - [12/Jan/2024:09:30:16 +0900] "GET /k20240109_1_javascript/11_javascript_%ED%81%B4%EB%9E%98%EC%8A%A41.html HTTP/1.1" 200 262
127.0.0.1 - - [12/Jan/2024:09:30:16 +0900] "GET /k20240109_1_javascript/js/javascript11.js HTTP/1.1" 200 224
127.0.0.1 - - [12/Jan/2024:09:30:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [12/Jan/2024:09:43:58 +0900] "GET /k20240109_1_javascript/11_javascript_%ED%81%B4%EB%9E%98%EC%8A%A41.html HTTP/1.1" 304 -
127.0.0.1 - - [12/Jan/2024:09:44:02 +0900] "GET /k20240109_1_javascript/11_javascript_%ED%81%B4%EB%9E%98%EC%8A%A41.html HTTP/1.1" 304 -
127.0.0.1 - - [12/Jan/2024:09:44:12 +0900] "GET /k20240109_1_javascript/11_javascript_%ED%81%B4%EB%9E%98%EC%8A%A41.html HTTP/1.1" 304 -
127.0.0.1 - - [12/Jan/2024:09:44:32 +0900] "GET /k20240109_1_javascript/11_javascript_%ED%81%B4%EB%9E%98%EC%8A%A41.html HTTP/1.1" 304 -
127.0.0.1 - - [12/Jan/2024:09:44:32 +0900] "GET /k20240109_1_javascript/11_javascript_%ED%81%B4%EB%9E%98%EC%8A%A41.html HTTP/1.1" 304 -
127.0.0.1 - - [12/Jan/2024:09:45:40 +0900] "GET /k20240109_1_javascript/11_javascript_%ED%81%B4%EB%9E%98%EC%8A%A41.html HTTP/1.1" 304 -
127.0.0.1 - - [12/Jan/2024:09:45:41 +0900] "GET /k20240109_1_javascript/11_javascript_%ED%81%B4%EB%9E%98%EC%8A%A41.html HTTP/1.1" 304 -
127.0.0.1 - - [12/Jan/2024:09:46:00 +0900] "GET /k20240109_1_javascript/11_javascript_%ED%81%B4%EB%9E%98%EC%8A%A41.html HTTP/1.1" 304 -
127.0.0.1 - - [12/Jan/2024:09:46:02 +0900] "GET /k20240109_1_javascript/11_javascript_%ED%81%B4%EB%9E%98%EC%8A%A41.html HTTP/1.1" 304 -
