127.0.0.1 - - [16/Jan/2024:09:39:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:39:20 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:39:20 +0900] "GET /k20240109_1_javascript/js/javascript24.js HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:39:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:39:38 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:39:38 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:43:52 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:43:52 +0900] "GET /k20240109_1_javascript/js/javascript24.js HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:43:55 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:43:55 +0900] "GET /k20240109_1_javascript/js/javascript24.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:43:55 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:43:58 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:43:58 +0900] "GET /k20240109_1_javascript/js/javascript24.js HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:43:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:44:01 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:44:01 +0900] "GET /k20240109_1_javascript/js/javascript24.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:45:23 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:45:23 +0900] "GET /k20240109_1_javascript/js/javascript24.js HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:45:23 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:45:23 +0900] "GET /k20240109_1_javascript/js/javascript24.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:45:23 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:45:23 +0900] "GET /k20240109_1_javascript/js/javascript24.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:45:24 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:45:24 +0900] "GET /k20240109_1_javascript/js/javascript24.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:46:34 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:46:34 +0900] "GET /k20240109_1_javascript/js/javascript24.js HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:46:34 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:46:34 +0900] "GET /k20240109_1_javascript/js/javascript24.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:48:54 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:48:54 +0900] "GET /k20240109_1_javascript/js/javascript24.js HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:50:43 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:50:43 +0900] "GET /k20240109_1_javascript/js/javascript24.js HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:52:14 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:52:14 +0900] "GET /k20240109_1_javascript/js/javascript24.js HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:52:14 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:52:14 +0900] "GET /k20240109_1_javascript/js/javascript24.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:55:18 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:55:18 +0900] "GET /k20240109_1_javascript/js/javascript24.js HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [16/Jan/2024:09:57:17 +0900] "GET /k20240109_1_javascript/24_javascript_Number%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
