127.0.0.1 - - [23/Jan/2024:09:29:12 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:29:13 +0900] "GET /k20240118_1_jQuery/20_jQuery_%EC%9D%B4%EB%AF%B8%EC%A7%80%EB%A1%A4%EB%A7%81.html HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:29:13 +0900] "GET /k20240118_1_jQuery/js/jQuery20.js HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:29:13 +0900] "GET /k20240118_1_jQuery/images/don.jpg HTTP/1.1" 200 9410
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:29:13 +0900] "GET /k20240118_1_jQuery/images/ddbg.jpg HTTP/1.1" 200 14154
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:29:13 +0900] "GET /k20240118_1_jQuery/images/hamburg.jpg HTTP/1.1" 200 6144
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:29:13 +0900] "GET /k20240118_1_jQuery/images/lamyun.jpg HTTP/1.1" 200 11247
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:29:13 +0900] "GET /k20240118_1_jQuery/images/makchang.jpg HTTP/1.1" 200 12209
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:29:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:29:22 +0900] "GET /k20240118_1_jQuery/20_jQuery_%EC%9D%B4%EB%AF%B8%EC%A7%80%EB%A1%A4%EB%A7%81.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:29:22 +0900] "GET /k20240118_1_jQuery/js/jQuery20.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:29:22 +0900] "GET /k20240118_1_jQuery/20_jQuery_%EC%9D%B4%EB%AF%B8%EC%A7%80%EB%A1%A4%EB%A7%81.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:31:02 +0900] "GET /k20240118_1_jQuery/20_jQuery_%EC%9D%B4%EB%AF%B8%EC%A7%80%EB%A1%A4%EB%A7%81.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:31:02 +0900] "GET /k20240118_1_jQuery/js/jQuery20.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:31:03 +0900] "GET /k20240118_1_jQuery/20_jQuery_%EC%9D%B4%EB%AF%B8%EC%A7%80%EB%A1%A4%EB%A7%81.html HTTP/1.1" 304 -
